lemma,placement_count,prior_status
avoir,221,clued
ese,181,clued
rire,172,clued
ses,171,clued
ère,171,clued
savoir,167,clued
sse,150,clued
ire,139,clued
es,132,clued
être,128,clued
se,122,clued
aérer,121,clued
rai,120,clued
are,118,clued
est,115,clued
re,114,clued
oser,113,clued
ose,110,clued
ras,110,clued
ris,109,clued
les,108,clued
si,108,clued
ce,107,clued
êta,106,clued
été,106,clued
ir,105,clued
aller,105,clued
ter,100,clued
et,100,clued
ami,100,clued
ste,99,clued
sas,99,clued
ar,98,clued
en,97,clued
psi,97,clued
cet,95,clued
II,94,clued
ia,93,clued
air,93,clued
té,92,clued
suer,91,clued
me,91,clued
ne,89,clued
ci,88,clued
sec,87,clued
île,87,clued
ans,87,clued
as,86,clued
ra,86,clued
ene,86,clued
ôter,85,clued
ici,85,clued
ue,83,clued
aïe,83,clued
tri,82,clued
lire,81,clued
rat,81,clued
user,80,clued
sa,80,clued
pré,79,clued
ti,78,clued
sur,77,clued
dire,77,clued
pie,77,clued
rue,77,clued
cri,76,clued
aa,76,clued
mer,76,clued
ta,76,clued
eut,76,clued
ria,76,clued
oie,75,clued
sc,74,clued
os,73,clued
âme,73,clued
mettre,72,clued
léa,71,clued
eau,71,clued
ap,70,clued
éli,70,clued
ni,69,clued
tas,68,clued
ca,68,clued
ns,68,clued
ils,68,clued
cr,67,clued
le,66,clued
âne,65,clued
esse,65,UNCLUED
ost,64,clued
raser,64,clued
iii,64,UNCLUED
tir,63,clued
faire,63,clued
lie,62,clued
it,62,clued
noé,62,clued
atm,62,clued
ge,61,clued
roi,61,clued
st,60,clued
tarir,60,clued
rer,60,UNCLUED
dé,59,clued
parer,58,UNCLUED
usa,58,clued
art,58,clued
épier,57,UNCLUED
créer,57,clued
cep,56,clued
mi,56,clued
or,56,clued
pi,56,clued
CC,55,clued
nne,55,clued
errer,55,UNCLUED
soi,54,clued
am,54,clued
an,54,clued
au,54,clued
ps,54,clued
ail,54,clued
sso,53,clued
crier,53,UNCLUED
pouvoir,53,clued
na,53,clued
arc,53,clued
lier,52,UNCLUED
li,52,clued
us,50,clued
ode,50,clued
cas,49,clued
car,49,clued
mie,49,clued
uc,49,clued
ur,49,clued
peser,49,clued
renaître,49,clued
élire,49,clued
tirer,48,clued
lis,48,clued
esp,48,UNCLUED
ino,48,clued
ist,48,UNCLUED
une,47,clued
ouïr,47,clued
gel,47,clued
tuer,47,clued
sac,47,clued
tic,46,clued
rare,46,clued
il,46,clued
in,46,clued
no,46,clued
oc,46,clued
élu,46,clued
pis,46,clued
âge,46,clued
las,45,clued
he,45,clued
tao,44,clued
émettre,44,UNCLUED
clé,44,clued
semer,43,clued
puer,43,clued
ma,43,clued
vi,43,clued
pas,43,clued
naître,42,clued
DI,42,clued
yen,42,clued
son,41,clued
spa,41,UNCLUED
be,41,clued
sn,41,clued
nid,41,clued
taire,41,clued
gérer,41,clued
cor,40,clued
tué,40,clued
aisé,40,clued
fe,40,clued
rester,40,clued
al,39,clued
la,39,clued
nu,39,clued
so,39,clued
âtre,39,UNCLUED
onu,39,clued
oui,39,clued
trier,39,clued
voir,38,clued
nia,38,clued
aimer,38,clued
gré,38,clued
cap,37,clued
raire,37,UNCLUED
vis,37,clued
